GMT;TIME;WSPE [m/s];WDIR [deg];HUMI [%];PRES [hPa];TEMP [°C];PM10 [ug/m3];PM25 [ug/m3];PM01 [ug/m3];O3 [ug/m3];SO2 [ug/m3];NO [ug/m3];NO2 [ug/m3];CO [ug/m3]
2024-05-13T07:00;13.05.2024 7:00;0.3;78;62;1021;11.8;27;13;10;36.1;5.5;12.6;31.3;100
2024-05-13T08:00;13.05.2024 8:00;0.4;19;55;1021;14.1;36;16;11;32.1;5.5;20.7;42.7;100
2024-05-13T09:00;13.05.2024 9:00;0.4;134;49;1021;16.4;32;13;10;43.1;5.5;17.2;41.1;100
2024-05-13T10:00;13.05.2024 10:00;0.2;299;39;1020;18.6;18;7;5;77.8;5.5;2.5;18.7;
2024-05-13T11:00;13.05.2024 11:00;0.4;62;37;1020;19.5;18;7;4;;;;;
2024-05-13T12:00;13.05.2024 12:00;0.6;17;35;1019;20.2;15;5;3;;;;;
2024-05-13T13:00;13.05.2024 13:00;0.7;1;33;1018;20.6;14;5;3;;;;;
2024-05-13T14:00;13.05.2024 14:00;0.9;7;30;1018;20.8;13;4;3;;;;;
2024-05-13T15:00;13.05.2024 15:00;0.5;61;29;1017;20.5;11;4;2;;;;;
2024-05-13T16:00;13.05.2024 16:00;0.9;7;28;1017;20.7;12;4;2;109;5.5;2.5;4;100
2024-05-13T17:00;13.05.2024 17:00;0.6;54;27;1017;20.2;9;3;2;108.7;5.5;2.5;4;100
2024-05-13T18:00;13.05.2024 18:00;0.7;79;27;1017;19;13;4;2;104;5.5;2.5;4;100
2024-05-13T19:00;13.05.2024 19:00;0.5;78;32;1017;17.2;12;4;3;97.2;5.5;2.5;11;200.4
2024-05-13T20:00;13.05.2024 20:00;0.6;67;38;1017;15.8;17;5;3;92.3;5.5;2.5;10.6;201.3
2024-05-13T21:00;13.05.2024 21:00;0.7;350;41;1017;14.6;15;6;4;86.3;5.5;2.5;10.8;209.3
2024-05-13T22:00;13.05.2024 22:00;0.1;6;52;1017;12.2;14;6;5;78.6;5.5;2.5;9.9;213.7
2024-05-13T23:00;13.05.2024 23:00;0.1;204;66;1017;9.4;13;7;5;74;5.5;2.5;10.1;215.1
2024-05-14T00:00;14.05.2024 0:00;0.1;188;74;1017;7.9;14;8;6;62.2;5.5;2.5;13.1;226.5
2024-05-14T01:00;14.05.2024 1:00;0.1;174;82;1016;6.8;16;9;7;46.5;5.5;2.5;17.5;241.6
2024-05-14T02:00;14.05.2024 2:00;0.1;189;93;1016;5.8;16;9;7;35.9;5.5;2.5;18.3;231.8
2024-05-14T03:00;14.05.2024 3:00;0.1;201;99;1016;5.1;17;11;9;31.1;5.5;2.5;16.5;226.8
2024-05-14T04:00;14.05.2024 4:00;0.1;170;99;1017;4.9;15;8;6;28.7;5.5;2.5;15.4;226.2
2024-05-14T05:00;14.05.2024 5:00;0.3;123;92;1017;7.4;21;10;8;19.1;5.5;6.6;24;263.8
2024-05-14T06:00;14.05.2024 6:00;0.2;103;66;1017;11.7;42;16;11;28.7;5.5;15.6;37.8;286.5
2024-05-14T07:00;14.05.2024 7:00;0.2;185;56;1017;13.9;36;16;11;39.6;12.7;40.1;42.7;280.1
2024-05-14T08:00;14.05.2024 8:00;0.3;111;48;1017;16.2;38;16;11;55.1;5.5;11.1;35;464.3
2024-05-14T09:00;14.05.2024 9:00;0.2;67;39;1017;18.6;41;11;7;87.8;5.5;2.5;16.9;329
2024-05-14T10:00;14.05.2024 10:00;0.2;65;39;1016;20.1;25;8;5;98;5.5;2.5;12;261.3
2024-05-14T11:00;14.05.2024 11:00;0.5;23;36;1016;21.1;17;7;5;111.1;5.5;2.5;8.5;235.5
2024-05-14T12:00;14.05.2024 12:00;0.6;35;34;1016;22.1;14;5;4;119.9;5.5;2.5;4;249.9
2024-05-14T13:00;14.05.2024 13:00;0.4;25;33;1015;22.4;13;5;3;115.5;5.5;2.5;4;100
2024-05-14T14:00;14.05.2024 14:00;0.9;357;30;1015;22.3;12;4;3;117;5.5;2.5;4;100
2024-05-14T15:00;14.05.2024 15:00;0.6;38;31;1015;22.1;12;4;3;117.6;5.5;2.5;4;100
2024-05-14T16:00;14.05.2024 16:00;0.8;74;31;1014;22.1;13;4;3;116.7;5.5;2.5;4;100
2024-05-14T17:00;14.05.2024 17:00;1.4;92;30;1014;21.3;13;4;2;110.4;5.5;2.5;4;100
2024-05-14T18:00;14.05.2024 18:00;0.9;69;32;1015;20.2;14;4;2;105.8;5.5;2.5;4;100
2024-05-14T19:00;14.05.2024 19:00;0.6;59;37;1015;18.6;16;5;3;99.9;5.5;2.5;8.5;100
2024-05-14T20:00;14.05.2024 20:00;0.4;59;43;1015;17.3;15;5;4;93;5.5;2.5;9.7;100
2024-05-14T21:00;14.05.2024 21:00;0.4;78;48;1015;16.1;17;6;4;86.4;5.5;2.5;8.5;100
2024-05-14T22:00;14.05.2024 22:00;0.5;95;54;1016;14.5;16;7;5;78.9;5.5;2.5;9.6;201
2024-05-14T23:00;14.05.2024 23:00;0.6;92;57;1016;13.8;16;7;5;71.4;5.5;2.5;11.9;225.5
2024-05-15T00:00;15.05.2024 0:00;0.1;110;65;1016;12.2;15;7;5;63.8;5.5;2.5;11.9;270.6
2024-05-15T01:00;15.05.2024 1:00;0;27;70;1016;11.2;14;7;6;57.1;5.5;2.5;15.3;366
2024-05-15T02:00;15.05.2024 2:00;0.1;178;75;1016;10.2;13;7;5;56.5;5.5;2.5;13;323.8
2024-05-15T03:00;15.05.2024 3:00;0;125;77;1016;9.6;13;7;5;60.5;5.5;2.5;9.7;219.8
2024-05-15T04:00;15.05.2024 4:00;0.1;198;83;1016;8.6;13;7;5;55.9;5.5;2.5;11.5;216.5
2024-05-15T05:00;15.05.2024 5:00;0.2;54;77;1016;10.5;17;7;5;47.5;5.5;2.5;17.7;229.9
2024-05-15T06:00;15.05.2024 6:00;0.4;63;68;1016;12.8;19;8;6;47.6;5.5;2.5;21.3;280.3
2024-05-15T07:00;15.05.2024 7:00;;;;;;;;;;;;;
2024-05-15T08:00;15.05.2024 8:00;;;;;;;;;;;;;
2024-05-15T09:00;15.05.2024 9:00;;;;;;;;;;;;;
2024-05-15T10:00;15.05.2024 10:00;;;;;;;;;;;;;
2024-05-15T11:00;15.05.2024 11:00;;;;;;;;;;;;;
2024-05-15T12:00;15.05.2024 12:00;;;;;;;;;;;;;
2024-05-15T13:00;15.05.2024 13:00;1.4;71;33;926;19.7;19;5;3;106.6;5.5;2.5;4;100
2024-05-15T14:00;15.05.2024 14:00;1.7;62;32;926;19.6;19;6;3;109.4;5.5;2.5;4;100
2024-05-15T15:00;15.05.2024 15:00;1.6;62;31;925;19.5;18;5;3;108.9;5.5;2.5;4;100
2024-05-15T16:00;15.05.2024 16:00;1.6;71;32;925;19.4;19;5;3;107.5;5.5;2.5;4;100
2024-05-15T17:00;15.05.2024 17:00;1.7;73;34;925;18.7;19;5;3;104;5.5;2.5;4;100
2024-05-15T18:00;15.05.2024 18:00;1.5;81;38;925;17.7;24;6;4;99.9;5.5;2.5;4;100
2024-05-15T19:00;15.05.2024 19:00;1.8;82;40;925;16.5;29;8;4;95.6;5.5;2.5;4;100
2024-05-15T20:00;15.05.2024 20:00;1.3;97;43;926;15.1;25;8;5;88.9;5.5;2.5;4;100
2024-05-15T21:00;15.05.2024 21:00;1;91;47;926;14.4;20;8;5;83.4;5.5;2.5;8.3;205.3
2024-05-15T22:00;15.05.2024 22:00;0.8;87;50;927;13.6;22;9;6;75.8;5.5;2.5;10.5;244.1
2024-05-15T23:00;15.05.2024 23:00;0.2;150;65;927;10.6;20;9;7;62.6;5.5;2.5;13.9;302.1
2024-05-16T00:00;16.05.2024 0:00;0.2;124;73;928;9.3;18;9;7;50.2;5.5;2.5;20.1;292.6
2024-05-16T01:00;16.05.2024 1:00;0.2;162;75;928;8.9;15;8;6;63.4;5.5;2.5;12.4;237.9
2024-05-16T02:00;16.05.2024 2:00;0.2;196;82;928;7.6;16;9;7;57.5;5.5;2.5;10.2;248.5
2024-05-16T03:00;16.05.2024 3:00;0.2;188;90;928;6.4;14;9;7;49.1;5.5;2.5;11.5;288.9
2024-05-16T04:00;16.05.2024 4:00;0.3;150;95;928;5.9;20;11;9;22;5.5;2.5;26.3;336.4
2024-05-16T05:00;16.05.2024 5:00;0.4;54;83;928;9;26;13;10;19.5;5.5;8.9;34;369.9
2024-05-16T06:00;16.05.2024 6:00;0.8;75;59;928;13.2;40;12;8;44.1;5.5;9.8;32.3;323.1
2024-05-16T07:00;16.05.2024 7:00;1;92;50;928;15.6;23;7;5;76.6;5.5;2.5;11.9;224.7
2024-05-16T08:00;16.05.2024 8:00;1.2;123;45;928;16.9;21;6;4;86.4;5.5;2.5;4;233.7
2024-05-16T09:00;16.05.2024 9:00;1.4;150;38;928;17.9;17;4;2;94.7;5.5;2.5;4;100
2024-05-16T10:00;16.05.2024 10:00;1.5;148;36;927;18.9;19;4;2;95.2;5.5;2.5;4;100
2024-05-16T11:00;16.05.2024 11:00;1.6;152;34;926;19.3;23;5;3;97;5.5;2.5;4;100
2024-05-16T12:00;16.05.2024 12:00;1.3;142;34;926;19.6;21;5;2;96.6;5.5;2.5;4;100
2024-05-16T13:00;16.05.2024 13:00;1.2;140;34;925;19;13;4;2;94.5;5.5;2.5;4;100
2024-05-16T14:00;16.05.2024 14:00;0.8;181;35;925;19;10;3;2;93.8;5.5;2.5;4;100
2024-05-16T15:00;16.05.2024 15:00;0.9;177;37;925;18.7;11;4;2;90.4;5.5;2.5;4;100
2024-05-16T16:00;16.05.2024 16:00;1.1;171;37;925;18.6;12;4;3;89.6;5.5;2.5;4;100
2024-05-16T17:00;16.05.2024 17:00;0.8;174;37;924;18.2;10;4;3;92.1;5.5;2.5;4;100
2024-05-16T18:00;16.05.2024 18:00;0.6;174;39;924;17.4;11;5;3;83.4;5.5;2.5;11.8;202.2
2024-05-16T19:00;16.05.2024 19:00;0.4;117;45;924;15.8;12;5;4;76.3;5.5;2.5;13.4;100
2024-05-16T20:00;16.05.2024 20:00;0.4;83;51;925;14.5;15;7;5;68.1;5.5;2.5;14.8;211.8
2024-05-16T21:00;16.05.2024 21:00;0.6;87;52;925;13.6;13;6;5;71.7;5.5;2.5;11.6;211.4
2024-05-16T22:00;16.05.2024 22:00;0.4;111;57;925;12.1;11;6;5;66.6;5.5;2.5;14.2;228.3
2024-05-16T23:00;16.05.2024 23:00;0.6;100;60;924;11.3;14;7;6;70.2;5.5;2.5;9.8;213.8
2024-05-17T00:00;17.05.2024 0:00;0.4;98;61;924;10.6;15;9;7;71.3;5.5;2.5;4;210.2
2024-05-17T01:00;17.05.2024 1:00;0.8;93;62;924;10;15;8;7;70.6;5.5;2.5;4;209.1
2024-05-17T02:00;17.05.2024 2:00;0.8;92;64;923;9.6;16;9;7;69.8;5.5;2.5;4;208.6
2024-05-17T03:00;17.05.2024 3:00;0.5;33;71;923;8.4;18;10;8;66;5.5;2.5;4;207.6
2024-05-17T04:00;17.05.2024 4:00;0.8;22;71;922;8.3;21;10;8;62.1;5.5;2.5;11.3;214.7
2024-05-17T05:00;17.05.2024 5:00;0.9;29;64;922;9.7;20;10;7;63.5;5.5;2.5;12.3;212.6
2024-05-17T06:00;17.05.2024 6:00;0.8;29;57;922;11.8;22;10;7;64;5.5;2.5;12.4;215.4
2024-05-17T07:00;17.05.2024 7:00;1;15;54;922;13.3;41;12;7;62.3;5.5;2.5;14.5;222.8
2024-05-17T08:00;17.05.2024 8:00;1.1;43;55;922;13.5;45;13;7;63.7;5.5;2.5;14.6;220.2
2024-05-17T09:00;17.05.2024 9:00;1;63;54;922;13.9;25;9;7;66.6;5.5;2.5;14.6;213.7
2024-05-17T10:00;17.05.2024 10:00;1.1;104;60;923;13.3;30;10;6;71.9;5.5;2.5;14.7;209.4
2024-05-17T11:00;17.05.2024 11:00;0.5;62;96;923;8.8;18;7;5;67.5;5.5;2.5;16.4;205.1
2024-05-17T12:00;17.05.2024 12:00;0.4;30;96;924;8.9;13;7;5;58.8;5.5;2.5;19.4;219.5
2024-05-17T13:00;17.05.2024 13:00;0.8;98;96;924;8.4;11;6;5;71.4;5.5;2.5;14.2;204.5
2024-05-17T14:00;17.05.2024 14:00;0.5;325;96;923;8.7;9;6;4;61.7;5.5;2.5;19.2;256.1
2024-05-17T15:00;17.05.2024 15:00;0.8;3;96;923;8.8;11;7;6;54.1;5.5;2.5;30.1;352.8
