GMT;TIME;WSPE [m/s];WDIR [deg];HUMI [%];PRES [hPa];TEMP [°C];PM10 [ug/m3];PM25 [ug/m3];PM01 [ug/m3];O3 [ug/m3];SO2 [ug/m3];NO [ug/m3];NO2 [ug/m3];CO [ug/m3]
2024-01-05T16:00;05.01.2024 16:00;0.2;323;89;1008;4.9;46;;;5;5.5;47.7;58.6;631.2
2024-01-05T17:00;05.01.2024 17:00;0.4;39;93;1008;4.6;48;;;5;5.5;39.8;47.2;653.9
2024-01-05T18:00;05.01.2024 18:00;0.4;5;98;1008;3.4;44;;;5;5.5;31.1;41;637.3
2024-01-05T19:00;05.01.2024 19:00;0.6;14;99;1008;3;38;;;5;5.5;19;37.5;590.9
2024-01-05T20:00;05.01.2024 20:00;0.1;110;99;1008;1.8;40;;;5;5.5;23.4;32.8;641.1
2024-01-05T21:00;05.01.2024 21:00;0.2;79;99;1008;1.4;39;;;5;5.5;22.2;31.1;675.5
2024-01-05T22:00;05.01.2024 22:00;0.1;52;99;1008;0.7;35;;;5;5.5;21.6;29.5;651.6
2024-01-05T23:00;05.01.2024 23:00;0.8;8;99;1007;0.4;40;;;5;5.5;16.7;30.8;683.1
2024-01-06T00:00;06.01.2024 0:00;0.3;64;99;1007;-0.5;23;;;5;5.5;8.3;31.6;548
2024-01-06T01:00;06.01.2024 1:00;0.4;78;99;1007;-0.7;23;;;5;5.5;2.5;29.2;530.1
2024-01-06T02:00;06.01.2024 2:00;0.2;27;99;1007;-0.4;27;;;5;5.5;5.4;28.3;521.3
2024-01-06T03:00;06.01.2024 3:00;0.4;78;99;1007;0;23;;;5;5.5;5.7;27.6;518.5
2024-01-06T04:00;06.01.2024 4:00;0.2;133;99;1006;0.2;23;;;5;5.5;6.4;25.7;510.9
2024-01-06T05:00;06.01.2024 5:00;0.1;48;99;1006;0.5;27;;;5;5.5;14;27.2;548.2
2024-01-06T06:00;06.01.2024 6:00;0.1;27;99;1006;1;31;;;5;5.5;12.4;24.8;554.9
2024-01-06T07:00;06.01.2024 7:00;0.2;110;99;1007;1.2;28;;;5;5.5;13.9;23.8;541.8
2024-01-06T08:00;06.01.2024 8:00;0.1;248;99;1007;1.6;29;;;5;5.5;22.2;23.8;591
2024-01-06T09:00;06.01.2024 9:00;0.7;349;99;1007;2.1;39;;;5;5.5;42.8;32.1;638.8
2024-01-06T10:00;06.01.2024 10:00;0.9;2;99;1008;2.5;42;;;5;5.5;31.6;30.3;676.2
2024-01-06T11:00;06.01.2024 11:00;1.2;352;99;1008;2.9;42;;;5;5.5;25.1;30.3;624.9
2024-01-06T12:00;06.01.2024 12:00;1.4;346;99;1008;3.3;35;;;13;5.5;10;26;511.1
2024-01-06T13:00;06.01.2024 13:00;1.6;349;99;1008;2.9;42;;;5;5.5;11.1;27.5;581
2024-01-06T14:00;06.01.2024 14:00;1.9;359;99;1008;2.5;54;;;5;5.5;19.2;32.4;581.9
2024-01-06T15:00;06.01.2024 15:00;1.6;338;99;1009;2.1;39;;;5;5.5;12.5;26.9;582
2024-01-06T16:00;06.01.2024 16:00;1.7;339;99;1009;1.7;30;;;5;5.5;2.5;21.1;449.8
2024-01-06T17:00;06.01.2024 17:00;1.9;341;99;1009;1.4;27;;;10.6;5.5;2.5;17.4;410.9
2024-01-06T18:00;06.01.2024 18:00;1.9;339;99;1009;0.6;24;;;13.3;5.5;2.5;17.1;389.9
2024-01-06T19:00;06.01.2024 19:00;1.7;344;99;1009;0.4;26;;;13.7;5.5;2.5;16.7;384.3
2024-01-06T20:00;06.01.2024 20:00;1.6;349;99;1010;0.1;15;;;15.8;5.5;2.5;15.4;326.8
2024-01-06T21:00;06.01.2024 21:00;1.6;353;99;1010;-0.1;12;;;19.6;5.5;2.5;13.3;284.4
2024-01-06T22:00;06.01.2024 22:00;1.8;359;99;1010;-0.2;9;;;23.7;5.5;2.5;11.3;262.2
2024-01-06T23:00;06.01.2024 23:00;2.1;359;99;1010;-0.3;9;;;28.7;5.5;2.5;10.2;246.7
